# ER[keVee],Counts[1/keV]
0.50000,0.82499
1.50000,25.7700
2.50000,52.3125
3.50000,55.5860
4.50000,57.0042
5.50000,57.1081
6.50000,56.5163
7.50000,55.7698
8.50000,55.0749
9.50000,54.4831
10.5000,53.2986
11.5000,51.3153
12.5000,49.9762
13.5000,48.9205
14.5000,48.1483
15.5000,47.5823
16.5000,47.2739
17.5000,47.2232
18.5000,47.1210
19.5000,47.3280
20.5000,47.3804
21.5000,47.4843
22.5000,47.7171
23.5000,47.8984
24.5000,48.0023
25.5000,48.2093
26.5000,48.2617
27.5000,48.4429
28.5000,48.6242
29.5000,48.4189
