# ER[keVee],Counts[1/keV]
0.50000,0.00000
1.50000,26.9038
2.50000,47.0042
3.50000,67.9550
4.50000,60.9725
5.50000,51.0009
6.50000,48.9661
7.50000,57.9602
8.50000,57.9353
9.50000,56.9312
10.5000,48.9695
11.5000,52.9645
12.5000,52.9396
13.5000,35.9847
14.5000,38.9231
15.5000,39.9290
16.5000,53.9995
17.5000,55.9588
18.5000,59.9538
19.5000,48.9772
20.5000,50.9623
21.5000,43.9540
22.5000,52.9739
23.5000,50.9391
24.5000,55.9906
25.5000,50.9923
26.5000,37.9542
27.5000,40.9185
28.5000,41.9501
29.5000,38.9618
