ER[keVee],rate[1/ton/yr/keV]
4.93826,3.67474e-05,
4.93855,4.22308e-05,
5.13305,5.13088e-05,
5.26290,6.37410e-05,
5.19865,7.80918e-05,
5.13443,9.72839e-05,
5.52465,0.000253989,
6.04772,0.00331927,
6.43718,0.00608688,
6.69866,0.0215201,
7.21861,0.0658378,
7.99722,0.191585,
8.51815,0.924935,
8.77783,1.41167,
9.68368,1.50912,
10.7188,1.50912,
12.2669,0.189462,
12.5234,0.0643876,
13.0386,0.0216396,
13.2946,0.00595276,
13.8103,0.00251319,
14.1952,0.000559606,
14.8363,3.74685e-05,
26.8692,3.62367e-05,
28.1698,0.000835249,
28.6904,0.00345077,
31.1576,0.215308,
33.2327,2.11868,
34.5285,5.39466,
35.1758,6.41005,
35.9526,7.83139,
36.3409,8.27940,
37.2465,8.09717,
37.8933,7.57424,
38.5399,6.37440,
39.3158,5.30527,
39.9619,3.61407,
42.5434,0.200277,
43.4466,0.0622662,
44.6058,0.00547549,
45.5074,0.000816812,
46.7947,3.85205e-05,
