ER[keVee],rate[1/ton/yr/keV]
0.1,0.660885,
1.12411,0.713278,
2.19631,0.763730,
3.34244,0.816453,
4.41465,0.875594,
5.41289,0.924212,
6.55904,0.995896,
7.40940,1.05119,
8.07495,1.12020,
8.81440,1.17117,
9.77568,1.24014,
10.3303,1.28836,
11.3655,1.37949,
12.4377,1.48413,
13.3990,1.58406,
14.3603,1.68536,
15.2476,1.78177,
16.2459,1.91084,
17.2811,2.04925,
18.2054,2.13911,
19.0558,2.27228,
20.0171,2.40227,
21.2741,2.56810,
22.4202,2.71501,
23.6772,2.84760,
24.5646,3.00571,
25.9694,3.18270,
27.2264,3.33283,
28.4834,3.49004,
30.0362,3.70731,
31.5889,3.88835,
33.0677,4.05883,
34.5095,4.22334,
35.8404,4.38058,
37.8368,4.63851,
39.7962,4.88051,
41.4968,5.11884,
43.3083,5.30940,
44.4482,5.52607,
46.0440,5.73484,
47.5536,5.90751,
49.2788,6.11932,
50.7884,6.33873,
52.6430,6.56600,
54.3251,6.75116,
56.1366,6.99322,
58.0774,7.25740,
59.9320,7.48978,
61.6141,7.75832,
63.7275,7.93284,
65.5390,8.20204,
67.3935,8.40211,
69.2481,8.70336,
71.0596,8.94879,
72.7848,9.18409,
