ER[keVee],efficiency
0.149683,0.00105416
0.318609,0.00681032
0.518788,0.0164029
0.599930,0.0370759
0.737274,0.0696840
0.849602,0.100587
0.918094,0.133620
1.00521,0.181146
1.11094,0.243163
1.26029,0.323296
1.36598,0.389788
1.43434,0.435396
1.47164,0.459265
1.52143,0.485478
1.59619,0.517020
1.65220,0.546644
1.70826,0.572431
1.75805,0.598218
1.82037,0.623153
1.88271,0.646384
1.95756,0.670253
2.03863,0.697746
2.08853,0.713730
2.13846,0.726731
2.18215,0.738239
2.26335,0.753158
2.34457,0.766585
2.40077,0.778947
2.46949,0.790882
2.54449,0.800686
2.63828,0.809212
2.71953,0.820295
2.80705,0.829460
2.92588,0.837346
3.03845,0.845446
3.15103,0.853333
3.32619,0.861007
3.50135,0.869534
3.72658,0.876995
3.90176,0.883391
4.10824,0.889361
4.42110,0.896610
4.67767,0.900876
4.94675,0.904715
5.27217,0.908982
5.49746,0.911329
5.79785,0.914316
6.08573,0.916451
6.39865,0.918160
6.69906,0.919868
7.08083,0.921365
7.50642,0.921796
8.28876,0.922872
9.09614,0.922882
10.3729,0.922684
11.6184,0.922700
12.6199,0.922712
14.2597,0.923159
15.1734,0.924449
16.2875,0.924463
17.2513,0.925114
18.5281,0.925343
19.2541,0.925991
19.8800,0.925999
20.4183,0.924940
20.9190,0.923881
21.4010,0.922182
21.8391,0.918565
22.3023,0.913456
22.7655,0.906642
23.1537,0.899188
23.4917,0.891307
23.7484,0.883211
23.9676,0.875329
24.1805,0.865955
24.3182,0.859989
24.4810,0.852532
24.6564,0.843584
24.8004,0.834635
24.9633,0.824407
25.1073,0.814393
25.2639,0.803526
25.4080,0.794151
25.5583,0.782858
25.6773,0.772203
25.8464,0.759419
25.9843,0.747060
26.1033,0.735553
26.2286,0.723407
26.3602,0.711901
26.4918,0.698689
26.6045,0.687822
26.7236,0.673971
26.8489,0.659907
26.9680,0.647122
27.0683,0.634336
27.1811,0.621338
27.3001,0.608765
27.4129,0.595341
27.5194,0.582129
27.6323,0.568065
27.7263,0.556558
27.8203,0.543346
27.9456,0.528856
28.0334,0.516923
28.1399,0.505203
28.2277,0.492417
28.3530,0.478779
28.4721,0.463436
28.5786,0.450225
28.6977,0.434882
28.7917,0.423162
28.9296,0.406115
29.0361,0.394395
29.1426,0.381183
29.2742,0.366267
29.4058,0.350711
29.5186,0.337712
29.6565,0.323009
29.7818,0.308945
29.9009,0.296373
30.0513,0.278047
30.2204,0.259935
30.3771,0.245445
30.5212,0.231594
30.6653,0.217744
30.8282,0.201549
31.0036,0.187699
31.2103,0.171079
31.4107,0.156376
31.5485,0.145296
31.7427,0.132512
31.8554,0.125267
32.0433,0.112696
32.2375,0.103108
32.4379,0.0918157
32.6445,0.0828675
32.8261,0.0743452
33.0515,0.0662497
33.2519,0.0583670
33.5023,0.0502718
33.7778,0.0430294
34.0282,0.0366391
34.3725,0.0296106
34.7293,0.0232216
35.1362,0.0176857
35.4867,0.0136409
35.8873,0.0100230
36.2566,0.00853577
36.6948,0.00598386
37.1079,0.00428408
37.5022,0.00301030
37.9904,0.00237703
38.4035,0.00216905
38.9167,0.00217543
39.3172,0.00239353
39.8805,0.00197430
