ER[keVee],rate[1/ton/yr/keV]
0.0825436,0.0350853,
1.96788,0.0350851,
5.25799,0.0350846,
7.88268,0.0351960,
10.5074,0.0351397,
13.5757,0.0350277,
16.3852,0.0351948,
19.3796,0.0353064,
21.9673,0.0351940,
23.9635,0.0351378,
28.8062,0.0350813,
30.8395,0.0350810,
35.1646,0.0349136,
37.6784,0.0347471,
40.0074,0.0346916,
41.7818,0.0346363,
44.1847,0.0348015,
46.6985,0.0349120,
49.1753,0.0349671,
51.6891,0.0348005,
53.9810,0.0348001,
56.4948,0.0349106,
58.8977,0.0350214,
61.0418,0.0350211,
64.2765,0.0353001,
67.0583,0.0352997,
70.2930,0.0352012,
72.9454,0.0352989,
75.1449,0.0352986,
