ER[keVee],rate[1/ton/yr/keV]
0.124561,0.367622,
1.30751,0.366454,
2.71227,0.365288,
5.33693,0.361243,
8.44214,0.351608,
11.1407,0.343866,
13.6175,0.338441,
16.3161,0.338437,
18.9408,0.339511,
21.5285,0.340588,
24.9665,0.338425,
28.0718,0.337884,
30.4007,0.337880,
33.0994,0.341657,
35.4283,0.341111,
38.2009,0.344376,
41.1213,0.343825,
43.6351,0.351559,
45.7423,0.357188,
48.2561,0.361181,
50.6220,0.361752,
52.9140,0.361749,
55.4278,0.359453,
57.6828,0.363471,
60.2706,0.366368,
62.5995,0.366364,
65.1133,0.365198,
67.2574,0.364615,
69.7712,0.366354,
72.6917,0.368686,
75.2424,0.367512,
78.4585,0.365179,
80.6766,0.367505,
