# ER[keV],acc
0.504597,0.00192419
0.546357,0.00179902
0.599359,0.00155087
0.647544,0.00191400
0.694658,0.00239939
0.733741,0.00251879
0.770682,0.00276053
0.811907,0.00324634
0.855274,0.00385419
0.897569,0.00397336
0.942543,0.00531421
0.982698,0.00653323
1.02392,0.00689685
1.07639,0.00848154
1.11869,0.00933384
1.16045,0.0116524
1.20596,0.0134820
1.25950,0.0159219
1.30983,0.0177511
1.36337,0.0205576
1.41156,0.0234867
1.46028,0.0262935
1.51168,0.0291002
1.55719,0.0319072
1.60967,0.0354469
1.65571,0.0384983
1.70819,0.0420380
1.75637,0.0455780
1.80189,0.0487516
1.83990,0.0515592
1.89398,0.0558319
1.94913,0.0601045
2.00910,0.0647434
2.06693,0.0693824
2.12368,0.0736549
2.17509,0.0773168
2.21738,0.0808572
2.27307,0.0852520
2.32715,0.0887916
2.37320,0.0922095
2.44709,0.0974583
2.50545,0.101731
2.55685,0.105026
2.60504,0.109299
2.66447,0.112350
2.72819,0.117110
2.78976,0.120649
2.84652,0.124189
2.90059,0.126751
2.95306,0.130413
2.99697,0.132609
3.05479,0.135415
3.13296,0.139075
3.19614,0.142003
3.25504,0.144321
3.31018,0.146760
3.35676,0.147857
3.41405,0.150052
3.48098,0.152125
3.54790,0.154441
3.61429,0.155536
3.67961,0.156631
3.75456,0.157481
3.80917,0.157844
3.84719,0.157638
3.89965,0.158774
3.95712,0.158770
4.00584,0.159337
4.05331,0.159333
4.11077,0.159044
4.16824,0.159040
4.24444,0.157609
4.31689,0.157034
4.37935,0.155889
4.44931,0.154459
4.51551,0.153028
4.58547,0.151028
4.64917,0.149027
4.72162,0.147026
4.79533,0.145311
4.84404,0.143596
4.90400,0.141596
4.94772,0.139312
4.98770,0.137599
